City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
394,Matadi,CD,82.6,broken clouds,-5.8167,13.45,Hotel Vivi Palace
395,Pipri,IN,84.78,scattered clouds,19.8,75.5333,Sukhana River nilu and rushi home
396,Lat Yao,TH,84.96,broken clouds,15.751,99.7893,โรงแรมสอระ
403,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
407,Mayumba,GA,80.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
416,Harper,LR,77.94,light rain,4.375,-7.7169,Screensaver
418,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
420,Kloulklubed,PW,84.34,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
423,Isangel,VU,75.51,broken clouds,-19.55,169.2667,Tanna Lodge
427,Saint Pete Beach,US,77.02,clear sky,27.7253,-82.7412,Sirata Beach Resort
428,Sibiti,CG,76.6,light rain,-3.6819,13.3499,Gaby et confort
430,Rondonopolis,BR,81.37,overcast clouds,-16.4708,-54.6356,Serras Hotel
434,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
435,Pringsewu,ID,83.98,light rain,-5.3582,104.9744,Urban Style by Front One
438,Lorengau,PG,80.62,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
446,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
447,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
448,Kirakira,SB,80.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
456,Bontang,ID,83.95,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
463,Sri Aman,MY,80.65,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
476,Gwanda,ZW,80.33,clear sky,-20.9333,29.0,Mafax Homeways
477,Seydi,TM,79.59,clear sky,39.4816,62.9137,Seydi oteli
482,Marzuq,YE,81.52,clear sky,14.4,46.4667,حيد القفلة
491,Luwuk,ID,84.27,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
492,Kontagora,NG,78.22,broken clouds,10.3999,5.4695,Queens Guest Inn
493,Popondetta,PG,76.03,overcast clouds,-8.7537,148.2534,Timos Transit House
496,Natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
497,Kishapu,TZ,82.65,clear sky,-3.6167,33.8667,Stage 2
499,Sorong,ID,84.81,broken clouds,-0.8833,131.25,Waigo Splash Hotel
501,Kapoeta,SS,86.22,overcast clouds,4.7717,33.5903,Eastgate Hotel
503,Lakatoro,VU,79.9,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
505,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
508,Pasighat,IN,85.75,clear sky,28.0667,95.3333,Siang Guest House
510,Atambua,ID,82.49,overcast clouds,-9.1061,124.8925,Ros Muskanan
511,Qesarya,IL,84.96,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
513,Siavonga,ZM,88.86,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
515,Champerico,GT,77.31,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
516,Labuhan,ID,85.51,light rain,-6.8844,112.2051,DoubleFAG
519,Acapulco,MX,77.65,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
521,Ambovombe,MG,81.91,clear sky,-25.1667,46.0833,RELAHARA
522,Bonthe,SL,75.99,light rain,7.5264,-12.505,Bonthe Holiday Village
524,Eseka,CM,78.26,light rain,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
527,Bosaso,SO,84.18,clear sky,11.2842,49.1816,Red Sea Hotel
529,Luganville,VU,79.52,clear sky,-15.5333,167.1667,The Espiritu Hotel
530,Phan Thiet,VN,82.63,broken clouds,10.9333,108.1,Hotel Saigon-PT
537,Tondano,ID,80.69,overcast clouds,1.3038,124.9112,Villa Bella
542,Mazatlan,MX,80.91,clear sky,23.2167,-106.4167,Hotel La Siesta
546,Alizai,PK,80.92,clear sky,33.5383,70.3462,Alizai Rest House
550,Ca Mau,VN,86.0,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
556,Sarangani,PH,84.27,moderate rain,5.4033,125.4636,JVL Inn and Cafeteria
559,Sarakhs,IR,83.08,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
562,Balkanabat,TM,75.74,broken clouds,39.5108,54.3671,Nebitchi Hotel
568,Acarau,BR,77.65,overcast clouds,-2.8856,-40.12,castelo pizzaria
570,Quelimane,MZ,87.85,clear sky,-17.8786,36.8883,Hotel Flamingo
574,Namatanai,PG,81.9,light rain,-3.6667,152.4333,Seagulls Inn Namatani
