City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
165,Esperance,AU,-33.8667,121.9,59.47,66,1,23.89,clear sky
166,Vestmannaeyjar,IS,63.4427,-20.2734,42.84,70,34,2.68,scattered clouds
167,Yarada,IN,17.65,83.2667,88.12,66,75,5.75,light rain
168,Jawhar,SO,2.7809,45.5005,88.59,47,97,13.87,overcast clouds
169,Dvurechensk,RU,56.5982,61.0953,46.78,80,100,9.57,overcast clouds
170,Nadym,RU,65.5333,72.5167,39.09,93,100,5.48,overcast clouds
171,Mitu,CO,1.1983,-70.1733,69.1,100,94,1.12,overcast clouds
172,Stawell,AU,-37.05,142.7667,55.85,78,70,5.01,broken clouds
173,Mandali,IQ,33.7499,45.5541,94.14,10,31,4.92,scattered clouds
174,Hithadhoo,MV,-0.6,73.0833,81.28,71,98,8.93,overcast clouds
175,Nalut,LY,30.3333,10.85,72.14,50,52,10.49,broken clouds
176,Port Elizabeth,ZA,-33.918,25.5701,76.1,84,0,8.01,clear sky
177,Kusti,SD,13.1629,32.6635,90.57,43,100,7.54,overcast clouds
178,Mehamn,NO,71.0357,27.8492,42.75,93,75,5.75,broken clouds
179,Baruun-Urt,MN,46.6806,113.2792,41.99,15,7,9.1,clear sky
180,Tiarei,PF,-17.5333,-149.3333,77.02,83,58,21.39,light rain
181,Ancud,CL,-41.8697,-73.8203,49.37,93,58,2.71,broken clouds
182,Qeshm,IR,26.9581,56.2719,94.87,49,1,2.98,clear sky
183,Katsuura,JP,35.1333,140.3,73.65,84,100,17.11,overcast clouds
184,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,40,12.66,scattered clouds
185,Unity,CA,52.4501,-109.1682,34.25,40,0,8.43,clear sky
186,Muros,ES,42.7762,-9.0603,62.69,93,100,15.1,overcast clouds
187,Thinadhoo,MV,0.5333,72.9333,81.37,70,87,12.26,overcast clouds
188,Carnarvon,AU,-24.8667,113.6333,75.27,43,0,23.02,clear sky
189,Victoria,HK,22.2855,114.1577,84.25,51,100,14.0,light rain
190,San Cristobal,VE,7.7669,-72.225,64.2,96,100,1.5,light rain
191,Westport,US,41.1415,-73.3579,53.89,85,75,1.01,broken clouds
192,Tasiilaq,GL,65.6145,-37.6368,21.78,64,81,7.14,broken clouds
193,Te Anau,NZ,-45.4167,167.7167,42.58,95,88,4.9,overcast clouds
194,Choix,MX,26.7092,-108.3219,69.24,78,0,2.93,clear sky
195,Sinnamary,GF,5.3833,-52.95,77.09,89,100,5.21,overcast clouds
196,Amuntai,ID,-2.4177,115.2494,86.34,72,100,1.9,light rain
197,Liverpool,GB,53.4106,-2.9779,55.81,82,20,18.41,few clouds
198,Castro,BR,-24.7911,-50.0119,55.81,97,5,1.86,clear sky
199,Ovalle,CL,-30.5983,-71.2003,56.19,85,0,0.74,clear sky
200,Haapiti,PF,-17.5667,-149.8667,76.73,78,34,20.31,light rain
201,Saint-Pierre,RE,-21.3393,55.4781,78.91,61,0,23.02,clear sky
202,Becerril,CO,9.7041,-73.2793,73.11,93,100,2.82,overcast clouds
203,Kourou,GF,5.1552,-52.6478,73.45,92,100,4.03,overcast clouds
204,Gat,IL,31.61,34.7642,81.39,18,0,9.33,clear sky
205,Leningradskiy,RU,69.3833,178.4167,15.37,93,100,8.39,overcast clouds
206,Trairi,BR,-3.2778,-39.2689,78.08,77,99,14.7,overcast clouds
207,Valdivia,CL,-39.8142,-73.2459,42.89,99,96,3.2,light rain
208,Norrtalje,SE,59.758,18.705,53.02,71,0,11.59,clear sky
209,Kayerkan,RU,69.3497,87.7602,28.53,100,100,7.25,light snow
210,Seoul,KR,37.5683,126.9778,58.39,30,0,12.66,clear sky
211,Ventspils,LV,57.3894,21.5606,53.53,82,40,16.11,scattered clouds
212,Saint George,US,37.1041,-113.5841,64.99,40,0,3.0,clear sky
213,Pevek,RU,69.7008,170.3133,4.55,96,80,5.23,broken clouds
214,Bethel,US,41.3712,-73.414,49.95,90,75,0.0,broken clouds
215,Ponta Delgada,PT,37.7333,-25.6667,66.92,72,20,21.85,few clouds
216,Lima,PE,-12.0432,-77.0282,59.9,85,75,8.05,broken clouds
217,Riverton,US,40.5219,-111.9391,58.3,39,0,7.0,clear sky
218,Millbrook,US,32.4799,-86.3619,60.87,100,0,0.0,clear sky
219,Leander,US,30.5788,-97.8531,65.52,92,100,13.8,light rain
220,Springdale,US,36.1867,-94.1288,50.68,80,0,3.44,haze
221,Khasan,RU,42.4308,130.6434,50.97,46,13,18.43,few clouds
222,Sinegorye,RU,62.0788,150.477,-4.49,100,48,2.44,scattered clouds
223,Kalmunai,LK,7.4167,81.8167,85.19,66,100,5.17,overcast clouds
224,Vestmanna,FO,62.1564,-7.1664,45.52,81,75,5.75,broken clouds
225,Flin Flon,CA,54.7682,-101.865,25.97,61,82,5.28,broken clouds
226,Ngunguru,NZ,-35.6167,174.5,59.29,93,100,11.7,overcast clouds
227,Kyra,RU,49.5776,111.9753,42.76,23,8,4.27,clear sky
228,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,12.66,few clouds
229,College,US,64.8569,-147.8028,36.07,87,75,9.22,broken clouds
230,Tabou,CI,4.423,-7.3528,77.67,83,82,1.88,broken clouds
231,Narsaq,GL,60.9167,-46.05,23.47,69,100,6.89,overcast clouds
232,Novyy Urgal,RU,51.0736,132.5642,36.43,52,39,6.02,scattered clouds
233,Monrovia,LR,6.3005,-10.7969,74.97,88,99,3.94,light rain
234,Nuqui,CO,5.7125,-77.2708,76.14,90,100,3.4,moderate rain
235,Hobyo,SO,5.3505,48.5268,82.4,68,27,11.9,scattered clouds
236,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,0,8.99,clear sky
237,Marawi,PH,7.9986,124.2928,75.2,90,100,2.71,moderate rain
238,Srednekolymsk,RU,67.45,153.6833,3.0,95,100,1.83,overcast clouds
239,Terney,RU,45.0503,136.6092,44.22,57,3,12.28,clear sky
240,Los Alamos,US,35.8881,-106.307,44.62,87,100,4.61,overcast clouds
241,Yulara,AU,-25.2406,130.9889,81.19,30,86,18.28,overcast clouds
242,Lahat,ID,-3.8,103.5333,85.91,73,84,3.15,broken clouds
243,Port Macquarie,AU,-31.4333,152.9167,64.89,87,46,8.08,scattered clouds
244,Saldanha,ZA,-33.0117,17.9442,62.65,74,13,10.71,few clouds
245,Sendafa,ET,9.15,39.0333,63.68,55,27,7.72,scattered clouds
246,Erdenet,MN,49.0333,104.0833,43.66,20,5,4.5,clear sky
247,Bjornevatn,NO,69.6672,29.9847,43.14,93,75,5.75,light rain
248,Chifeng,CN,42.2683,118.9636,48.31,17,0,16.93,clear sky
249,Awka,NG,6.2101,7.0741,78.04,82,98,1.05,overcast clouds
250,Thompson,CA,55.7435,-97.8558,10.56,92,20,0.0,few clouds
251,Verkhnevilyuysk,RU,63.4453,120.3167,30.96,79,100,7.4,overcast clouds
252,Sao Filipe,CV,14.8961,-24.4956,77.04,74,43,5.61,scattered clouds
253,Margate,GB,51.3813,1.3862,62.31,91,100,4.0,overcast clouds
254,Balkhash,KZ,46.844,74.9804,61.41,36,20,6.71,few clouds
255,Moindou,NC,-21.6924,165.677,75.04,68,76,4.74,broken clouds
256,Naze,JP,28.3667,129.4833,76.12,84,100,15.88,moderate rain
257,Boa Vista,BR,2.8197,-60.6733,78.78,78,75,4.61,light rain
258,Nicoya,CR,10.1483,-85.452,72.61,96,100,1.32,overcast clouds
259,Limbang,MY,4.75,115.0,84.31,90,100,6.78,overcast clouds
260,Ponazyrevo,RU,58.3578,46.3142,45.61,69,100,11.56,overcast clouds
261,Bereda,ES,43.2686,-7.5406,59.14,100,100,1.52,overcast clouds
262,Ontario,US,34.0633,-117.6509,69.69,85,0,0.0,mist
263,Deep River,CA,46.1001,-77.4995,41.95,97,100,2.95,overcast clouds
264,Nueva Loja,EC,0.0847,-76.8828,66.88,98,93,0.89,overcast clouds
265,Manta,EC,-0.95,-80.7333,69.58,88,100,8.05,overcast clouds
266,Lundazi,ZM,-12.2929,33.1782,82.81,27,0,9.35,clear sky
267,Togur,RU,58.3631,82.8265,37.69,89,100,4.85,overcast clouds
268,Aripuana,BR,-9.1667,-60.6333,70.59,99,100,0.74,overcast clouds
269,Altamira,BR,-3.2033,-52.2064,71.55,98,6,2.73,clear sky
270,Namibe,AO,-15.1961,12.1522,74.03,73,100,5.75,overcast clouds
271,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,93,0,2.3,clear sky
272,Aksha,RU,50.2814,113.2867,44.2,26,1,4.07,clear sky
273,Mangrol,IN,21.1167,70.1167,90.14,38,11,5.37,few clouds
274,Grand-Santi,GF,4.25,-54.3833,71.01,100,58,2.04,broken clouds
275,Mackay,AU,-21.15,149.2,79.68,78,35,11.25,scattered clouds
276,Peniche,PT,39.3558,-9.3811,63.28,93,90,8.97,overcast clouds
277,Hamilton,US,39.1834,-84.5333,48.83,66,0,5.75,clear sky
278,Iqaluit,CA,63.7506,-68.5145,37.13,93,100,18.41,overcast clouds
279,Port Hardy,CA,50.6996,-127.4199,59.18,67,0,3.44,smoke
280,Cururupu,BR,-1.8283,-44.8683,76.55,85,3,4.29,clear sky
281,Sabya,SA,17.1495,42.6254,92.82,29,4,4.79,clear sky
282,Estevan,CA,49.1334,-102.9842,35.8,38,100,9.22,overcast clouds
283,Clyde River,CA,70.4692,-68.5914,26.83,100,100,21.85,light snow
284,Qasigiannguit,GL,68.8193,-51.1922,36.88,80,100,4.72,overcast clouds
285,Joshimath,IN,30.5667,79.5667,69.82,37,0,7.23,clear sky
286,Tuatapere,NZ,-46.1333,167.6833,46.54,91,99,2.91,overcast clouds
287,Mabaruma,GY,8.2,-59.7833,72.61,99,99,1.12,overcast clouds
288,Nome,US,64.5011,-165.4064,35.67,81,100,6.91,light rain
289,Floro,NO,61.5996,5.0328,49.96,81,75,11.5,broken clouds
290,Djambala,CG,-2.5447,14.7533,76.28,74,70,4.0,light rain
291,Mahebourg,MU,-20.4081,57.7,76.24,83,75,11.5,light intensity shower rain
292,Hay River,CA,60.8156,-115.7999,33.78,80,20,5.75,few clouds
